season,basin,storm,type,satellite,resolution,image
tc98,IO,07B.NONAME,ssmi,pct,none,1919981123.1210.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981119.0202.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981119.0329.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981119.1106.f13.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981119.1305.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981119.1432.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981119.2351.f13.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981120.0148.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981120.0317.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981120.1054.f13.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981123.1210.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981121.1407.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981121.2326.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981122.0121.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981122.0252.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981122.1224.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981123.0108.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981123.0239.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981123.1210.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981119.0202.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981119.0329.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981119.1106.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981119.1305.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981119.1432.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981119.2351.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981120.0148.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,color,2degreeticks,19981120.0919.trmm.color.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,color,2degreeticks,19981121.0014.trmm.color.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,color,2degreeticks,19981121.0814.trmm.color.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,color,2degreeticks,19981122.0030.trmm.color.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,color,2degreeticks,19981122.2317.trmm.color.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,color,2degreeticks,19981123.0511.trmm.color.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981121.1237.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981121.1237.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981121.1237.f11.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981120.1251.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981120.1420.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981120.2338.f13.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981121.0135.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981121.0304.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981121.1237.f11.pct.x.NONAME.x.jpg
