Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2022-05-27,IBE,5717,LGW,BCN,S,14,1,,false,,2022-05-27T16:10,,2022-05-27T16:20,,2022-05-27T19:15,,2022-05-27T19:25,,Airbus A320,,,,,,,,45dedd04-f5ee-4bd1-8ab8-a35fa44add5b,4641204d-60ce-4786-824a-cf07cda81816,f0a9abc1-65e8-4666-9c4f-e7c1849cae93,72d63683-9cc9-40da-9394-b2557edacb91,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2022-06-07,RYR,8364,SVQ,STN,,,,41,false,,2022-06-07T17:55,2022-06-07T17:58:36,2022-06-07T18:05,2022-06-07T18:04:50,2022-06-07T19:30,2022-06-07T19:27,2022-06-07T19:40,2022-06-07T19:31,Boeing 737-800,EIDHC,HFFC5K,03F,,,,,bdcef4b7-89d3-4d3a-b381-4bf64a41df51,89ad0292-b411-46f2-a3ad-27896d1be60b,55138ed4-f7bf-405a-a6e4-84730c4bf31f,d96781d4-9fa4-4b33-b1e3-f2b4444740fa,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2022-09-02,NSZ,4458,LGW,ARN,S,14,5,20,false,,2022-09-02T17:00,2022-09-02T17:20,2022-09-02T17:49,2022-09-02T17:49,2022-09-02T20:47,2022-09-02T20:47,2022-09-02T20:35,2022-09-02T20:53,Boeing 737-800,SERPJ,VGNBXA,,,,,,a68fada4-aa35-4311-9393-b8669e80eece,17fd5940-d80e-4d17-b629-9ea3d6746b9c,f0a9abc1-65e8-4666-9c4f-e7c1849cae93,94e58d0c-8465-4ac1-bc7e-4cff8f3240a0,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-09-05,NSZ,4459,ARN,LGW,5,19,S,,false,,2022-09-05T17:25,2022-09-05T17:56,2022-09-05T18:14,2022-09-05T18:14,2022-09-05T19:32,2022-09-05T19:32,2022-09-05T19:15,2022-09-05T19:36,Boeing 737-800,SERPI,VGNBXA,,,,,,c37b6561-ef7e-40c6-97c1-c0c45d65144a,17fd5940-d80e-4d17-b629-9ea3d6746b9c,94e58d0c-8465-4ac1-bc7e-4cff8f3240a0,f0a9abc1-65e8-4666-9c4f-e7c1849cae93,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-12-18,BAW,293,LHR,IAD,5,,,,true,,2022-12-18T16:30,,2022-12-18T16:40,,2022-12-18T19:18,,2022-12-18T19:55,,Boeing 787-9,,TLZHAV,,,,,,889620c2-afee-4729-90e4-a30a8bae5bda,0e7d613e-188c-4d20-95ee-ddc17c17de3d,5a2a51a0-1a5b-42c9-b220-c61953fac034,519696f5-bda6-457c-ae4c-dd1cb07e20de,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2022-12-20,BAW,217,LHR,IAD,5,,Main,,true,,2022-12-20T12:15,,2022-12-20T12:25,,2022-12-20T14:29,,2022-12-20T15:40,,Boeing 787-9,GZBKR,TLZHAV,,,,,,e96acc96-62ae-4be0-811f-8442900eb6d2,0e7d613e-188c-4d20-95ee-ddc17c17de3d,5a2a51a0-1a5b-42c9-b220-c61953fac034,519696f5-bda6-457c-ae4c-dd1cb07e20de,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2023-01-07,BAW,292,IAD,LHR,Main,,5,,false,,2023-01-07T22:05,2023-01-07T22:06,2023-01-07T22:17,2023-01-07T22:22,2023-01-08T09:24,2023-01-08T09:52,2023-01-08T10:10,2023-01-08T10:02,Boeing 787-10,GZBLB,TLZHAV,,,,,,c622b948-8662-44ca-acfa-37e195ca1321,0e7d613e-188c-4d20-95ee-ddc17c17de3d,519696f5-bda6-457c-ae4c-dd1cb07e20de,5a2a51a0-1a5b-42c9-b220-c61953fac034,,7ee6dd4c-86a8-412a-8fd3-9dc79c771bc9
2023-02-24,BAW,960,LHR,MUC,5,A6,1,,false,,2023-02-24T17:00,2023-02-24T17:08,2023-02-24T17:10,2023-02-24T17:32,2023-02-24T19:50,2023-02-24T19:52,2023-02-24T20:00,2023-02-24T19:58,Airbus A320,GEUYE,RPBN5H,,,,,,2722049d-5d91-4fea-97a9-892593c9f189,0e7d613e-188c-4d20-95ee-ddc17c17de3d,5a2a51a0-1a5b-42c9-b220-c61953fac034,fed9a584-f1e1-4a40-af94-ffbeda5c5f0e,,dd390a1f-e92a-4411-ab72-04db16d42030
2023-03-05,BAW,927,MUC,LHR,1,B17,5,,false,,2023-03-05T14:35,2023-03-05T15:04,2023-03-05T14:45,2023-03-05T15:19,2023-03-05T15:30,2023-03-05T15:47,2023-03-05T15:40,2023-03-05T15:55,Airbus A320neo,GTTNR,RPBN5H,,,,,,dd928696-f3cf-48e6-a6b3-fbbb19003b8e,0e7d613e-188c-4d20-95ee-ddc17c17de3d,fed9a584-f1e1-4a40-af94-ffbeda5c5f0e,5a2a51a0-1a5b-42c9-b220-c61953fac034,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2023-07-05,BAW,217,LHR,IAD,5,10,Main,,false,,2023-07-05T12:35,2023-07-05T12:39,2023-07-05T12:45,2023-07-05T13:01,2023-07-05T15:04,2023-07-05T15:22,2023-07-05T15:35,2023-07-05T15:29,Boeing 777-200 ER,GVIIF,,,,,,,7e2e2340-ea69-4188-a6b4-8b7188d6981c,0e7d613e-188c-4d20-95ee-ddc17c17de3d,5a2a51a0-1a5b-42c9-b220-c61953fac034,519696f5-bda6-457c-ae4c-dd1cb07e20de,,a0f171e1-86df-426a-8922-e460c0660ae6
2023-07-09,BAW,216,IAD,LHR,Main,,5,,false,,2023-07-09T18:00,2023-07-09T18:57,2023-07-09T18:12,2023-07-09T20:01,2023-07-10T05:53,2023-07-10T08:13,2023-07-10T06:20,2023-07-10T08:22,Boeing 777-200 ER,GVIIS,,,,,,,530629d4-0d36-452d-ab78-6845beaf8771,0e7d613e-188c-4d20-95ee-ddc17c17de3d,519696f5-bda6-457c-ae4c-dd1cb07e20de,5a2a51a0-1a5b-42c9-b220-c61953fac034,,a0f171e1-86df-426a-8922-e460c0660ae6
